age,youthAgeGroup,educationalBackground,workStatus,specificNeedType,attendedKKAssembly,reasonDidNotAttend,youthClassification
22,Core Youth,College Graduate,Self-Employed,,FALSE,There was no KK Assembly,Working Youth
22,Core Youth,High School Graduate,Employed,,TRUE,,Working Youth
25,Young Youth,College Graduate,Unemployed,,TRUE,,Out of School Youth
17,Core Youth,Elementary Graduate,Employed,,TRUE,,Working Youth
22,Core Youth,Vocational Graduate,Employed,,TRUE,,Working Youth
27,Young Youth,College Graduate,Unemployed,Person w/Disability,FALSE,There was no KK Assembly,Youth with Specific Needs
23,Core Youth,College Graduate,Employed,,TRUE,,Working Youth
28,Young Youth,Masters Level,Employed,,TRUE,,Working Youth
25,Young Youth,Vocational Graduate,Employed,,TRUE,,Working Youth
19,Core Youth,College Undergraduate,Currently looking for a Job,,TRUE,,Out of School Youth
11,Child Youth,Elementary Graduate,Not interested in looking for a Job,,TRUE,,In School Youth
16,Core Youth,Elementary Graduate,Self-Employed,,FALSE,Not interested,Working Youth
23,Core Youth,Vocational Graduate,Employed,,TRUE,,Working Youth
21,Core Youth,College Undergraduate,Not interested in looking for a Job,,TRUE,,In School Youth
23,Core Youth,High School Graduate,Not interested in looking for a Job,,TRUE,,In School Youth
18,Core Youth,High School Graduate,Self-Employed,,TRUE,,Working Youth
17,Core Youth,High School Graduate,Self-Employed,,TRUE,,Working Youth
18,Core Youth,College Undergraduate,Unemployed,,FALSE,Not interested,Out of School Youth
10,Child Youth,High School Undergraduate,Not interested in looking for a Job,,TRUE,,In School Youth
18,Core Youth,College Undergraduate,Currently looking for a Job,,TRUE,,Out of School Youth
21,Core Youth,College Undergraduate,Currently looking for a Job,,TRUE,,Out of School Youth
30,Young Youth,College Undergraduate,Not interested in looking for a Job,,TRUE,,In School Youth
10,Child Youth,Elementary Graduate,Unemployed,,FALSE,There was no KK Assembly,In School Youth
29,Young Youth,Masters Level,Employed,,TRUE,,Working Youth
17,Core Youth,High School Graduate,Not interested in looking for a Job,,TRUE,,In School Youth
19,Core Youth,Vocational Graduate,Employed,,FALSE,There was no KK Assembly,Working Youth
26,Young Youth,Doctorate Level,Employed,,TRUE,,Working Youth
10,Child Youth,High School Undergraduate,Not interested in looking for a Job,,TRUE,,In School Youth
23,Core Youth,College Graduate,Employed,,TRUE,,Working Youth
25,Young Youth,High School Graduate,Employed,,TRUE,,Working Youth
24,Young Youth,High School Graduate,Employed,,TRUE,,Working Youth
25,Young Youth,High School Graduate,Employed,,FALSE,Not interested,Working Youth
20,Core Youth,High School Graduate,Employed,Children in Conflict w/Law,TRUE,,Youth with Specific Needs
14,Child Youth,Elementary Graduate,Unemployed,,TRUE,,In School Youth
24,Young Youth,High School Graduate,Self-Employed,Children in Conflict w/Law,TRUE,,Youth with Specific Needs
25,Young Youth,Vocational Graduate,Employed,,TRUE,,Working Youth
27,Young Youth,College Undergraduate,Currently looking for a Job,,FALSE,Not interested,Out of School Youth
28,Young Youth,College Graduate,Unemployed,,TRUE,,Out of School Youth
17,Core Youth,High School Undergraduate,Currently looking for a Job,,TRUE,,Out of School Youth
23,Core Youth,College Undergraduate,Currently looking for a Job,,FALSE,There was no KK Assembly,Out of School Youth
26,Young Youth,Masters Graduate,Employed,,TRUE,,Working Youth
19,Core Youth,Vocational Graduate,Self-Employed,,TRUE,,Working Youth
28,Young Youth,College Undergraduate,Currently looking for a Job,,TRUE,,Out of School Youth
16,Core Youth,Elementary Graduate,Employed,,TRUE,,Working Youth
26,Young Youth,Masters Graduate,Unemployed,,TRUE,,Out of School Youth
18,Core Youth,Vocational Graduate,Employed,Children in Conflict w/Law,TRUE,,Youth with Specific Needs
20,Core Youth,College Undergraduate,Unemployed,,TRUE,,Out of School Youth
16,Core Youth,Elementary Graduate,Employed,,TRUE,,Working Youth
11,Child Youth,High School Undergraduate,Not interested in looking for a Job,,TRUE,,In School Youth
23,Core Youth,College Undergraduate,Not interested in looking for a Job,,FALSE,Not interested,Out of School Youth
25,Young Youth,College Graduate,Unemployed,,TRUE,,Out of School Youth
22,Core Youth,College Graduate,Unemployed,Person w/Disability,TRUE,,Youth with Specific Needs
18,Core Youth,College Undergraduate,Employed,,TRUE,,Working Youth
28,Young Youth,Masters Graduate,Self-Employed,,TRUE,,Working Youth
21,Core Youth,College Undergraduate,Currently looking for a Job,Person w/Disability,FALSE,There was no KK Assembly,Youth with Specific Needs
26,Young Youth,Doctorate Level,Not interested in looking for a Job,,FALSE,Not interested,Out of School Youth
20,Core Youth,High School Graduate,Employed,Children in Conflict w/Law,FALSE,Not interested,Youth with Specific Needs
30,Young Youth,College Undergraduate,Self-Employed,,TRUE,,Working Youth
21,Core Youth,College Undergraduate,Self-Employed,,TRUE,,Working Youth
19,Core Youth,Vocational Graduate,Currently looking for a Job,,TRUE,,Out of School Youth
11,Child Youth,High School Undergraduate,Not interested in looking for a Job,Person w/Disability,TRUE,,Youth with Specific Needs
12,Child Youth,Elementary Graduate,Not interested in looking for a Job,,TRUE,,In School Youth
12,Child Youth,Elementary Undergraduate,Not interested in looking for a Job,Indigenous People,TRUE,,Youth with Specific Needs
16,Core Youth,Elementary Graduate,Employed,,TRUE,,Working Youth
25,Young Youth,High School Graduate,Employed,,FALSE,There was no KK Assembly,Working Youth
27,Young Youth,College Undergraduate,Currently looking for a Job,Children in Conflict w/Law,TRUE,,Youth with Specific Needs
19,Core Youth,College Undergraduate,Currently looking for a Job,,TRUE,,Out of School Youth
30,Young Youth,Masters Graduate,Employed,Indigenous People,TRUE,,Youth with Specific Needs
19,Core Youth,High School Graduate,Not interested in looking for a Job,Children in Conflict w/Law,FALSE,There was no KK Assembly,Youth with Specific Needs
16,Core Youth,Elementary Graduate,Employed,,FALSE,There was no KK Assembly,Working Youth
15,Core Youth,Elementary Graduate,Employed,,TRUE,,Working Youth
22,Core Youth,College Graduate,Employed,,FALSE,There was no KK Assembly,Working Youth
27,Young Youth,Masters Level,Not interested in looking for a Job,,FALSE,There was no KK Assembly,In School Youth
27,Young Youth,Masters Level,Employed,,TRUE,,Working Youth
18,Core Youth,High School Graduate,Employed,,TRUE,,Working Youth
15,Core Youth,High School Undergraduate,Currently looking for a Job,,TRUE,,Out of School Youth
15,Core Youth,Elementary Graduate,Employed,,FALSE,Not interested,Working Youth
23,Core Youth,Vocational Graduate,Employed,Children in Conflict w/Law,TRUE,,Youth with Specific Needs
20,Core Youth,College Undergraduate,Currently looking for a Job,,FALSE,There was no KK Assembly,Out of School Youth
28,Young Youth,Masters Graduate,Unemployed,,TRUE,,Out of School Youth
23,Core Youth,Vocational Graduate,Employed,,TRUE,,Working Youth
21,Core Youth,College Undergraduate,Unemployed,,FALSE,There was no KK Assembly,Out of School Youth
25,Young Youth,College Graduate,Employed,,TRUE,,Working Youth
27,Young Youth,Doctorate Level,Employed,,TRUE,,Working Youth
23,Core Youth,Vocational Graduate,Not interested in looking for a Job,,TRUE,,In School Youth
14,Child Youth,Elementary Undergraduate,Unemployed,,FALSE,There was no KK Assembly,In School Youth
15,Core Youth,High School Undergraduate,Currently looking for a Job,,TRUE,,Out of School Youth
15,Core Youth,High School Graduate,Self-Employed,Children in Conflict w/Law,TRUE,,Youth with Specific Needs
29,Young Youth,College Graduate,Not interested in looking for a Job,,TRUE,,Out of School Youth
22,Core Youth,College Graduate,Employed,,FALSE,There was no KK Assembly,Working Youth
21,Core Youth,High School Graduate,Self-Employed,,FALSE,Not interested,Working Youth
30,Young Youth,College Undergraduate,Currently looking for a Job,,TRUE,,Out of School Youth
29,Young Youth,Masters Graduate,Employed,,FALSE,Not interested,Working Youth
18,Core Youth,High School Graduate,Self-Employed,,TRUE,,Working Youth
15,Core Youth,Elementary Graduate,Not interested in looking for a Job,,TRUE,,In School Youth
19,Core Youth,College Undergraduate,Unemployed,,FALSE,Not interested,Out of School Youth
22,Core Youth,College Undergraduate,Not interested in looking for a Job,,FALSE,There was no KK Assembly,In School Youth
13,Child Youth,Elementary Graduate,Not interested in looking for a Job,,TRUE,,In School Youth
17,Core Youth,Elementary Graduate,Employed,,TRUE,,Working Youth
23,Core Youth,High School Graduate,Employed,,TRUE,,Working Youth
30,Young Youth,College Graduate,Employed,,TRUE,,Working Youth
15,Core Youth,High School Graduate,Employed,,TRUE,,Working Youth
19,Core Youth,High School Graduate,Employed,,TRUE,,Working Youth
27,Young Youth,Masters Graduate,Employed,,TRUE,,Working Youth
10,Child Youth,Elementary Undergraduate,Not interested in looking for a Job,,TRUE,,In School Youth
24,Young Youth,High School Graduate,Employed,,FALSE,There was no KK Assembly,Working Youth
29,Young Youth,Doctorate Level,Self-Employed,Person w/Disability,TRUE,,Youth with Specific Needs
27,Young Youth,Masters Level,Employed,,TRUE,,Working Youth
28,Young Youth,Masters Graduate,Employed,,TRUE,,Working Youth
23,Core Youth,College Graduate,Currently looking for a Job,,FALSE,Not interested,Out of School Youth
26,Young Youth,Masters Level,Employed,,TRUE,,Working Youth
15,Core Youth,Elementary Graduate,Employed,Children in Conflict w/Law,TRUE,,Youth with Specific Needs
20,Core Youth,Vocational Graduate,Self-Employed,,FALSE,There was no KK Assembly,Working Youth
23,Core Youth,Vocational Graduate,Self-Employed,,TRUE,,Working Youth
13,Child Youth,Elementary Graduate,Not interested in looking for a Job,,TRUE,,In School Youth
18,Core Youth,High School Graduate,Employed,,TRUE,,Working Youth
27,Young Youth,College Graduate,Unemployed,Indigenous People,TRUE,,Youth with Specific Needs
22,Core Youth,High School Graduate,Employed,,FALSE,Not interested,Working Youth
20,Core Youth,Vocational Graduate,Unemployed,,TRUE,,Out of School Youth
15,Core Youth,High School Undergraduate,Currently looking for a Job,,FALSE,Not interested,Out of School Youth
13,Child Youth,High School Undergraduate,Unemployed,,FALSE,Not interested,In School Youth
21,Core Youth,Vocational Graduate,Employed,,TRUE,,Working Youth
19,Core Youth,College Undergraduate,Currently looking for a Job,,TRUE,,Out of School Youth
18,Core Youth,College Undergraduate,Unemployed,,TRUE,,Out of School Youth
24,Young Youth,College Graduate,Employed,,TRUE,,Working Youth
18,Core Youth,Vocational Graduate,Unemployed,,TRUE,,Out of School Youth
29,Young Youth,Masters Graduate,Employed,,TRUE,,Working Youth
15,Core Youth,Elementary Graduate,Self-Employed,,TRUE,,Working Youth
21,Core Youth,Vocational Graduate,Unemployed,,TRUE,,Out of School Youth
18,Core Youth,High School Graduate,Employed,,TRUE,,Working Youth
30,Young Youth,Masters Level,Employed,,TRUE,,Working Youth
25,Young Youth,College Undergraduate,Currently looking for a Job,,TRUE,,Out of School Youth
22,Core Youth,College Graduate,Employed,,FALSE,Not interested,Working Youth
15,Core Youth,High School Graduate,Employed,,FALSE,Not interested,Working Youth
22,Core Youth,High School Graduate,Employed,,FALSE,Not interested,Working Youth
28,Young Youth,Masters Level,Employed,Children in Conflict w/Law,FALSE,There was no KK Assembly,Youth with Specific Needs
17,Core Youth,High School Graduate,Employed,,TRUE,,Working Youth
16,Core Youth,Elementary Graduate,Employed,,TRUE,,Working Youth
28,Young Youth,College Undergraduate,Not interested in looking for a Job,,TRUE,,In School Youth
15,Core Youth,High School Undergraduate,Currently looking for a Job,,FALSE,There was no KK Assembly,Out of School Youth
20,Core Youth,High School Graduate,Self-Employed,,FALSE,There was no KK Assembly,Working Youth
19,Core Youth,College Undergraduate,Unemployed,Indigenous People,TRUE,,Youth with Specific Needs
11,Child Youth,Elementary Undergraduate,Not interested in looking for a Job,,TRUE,,In School Youth
17,Core Youth,High School Graduate,Unemployed,,FALSE,There was no KK Assembly,Out of School Youth
10,Child Youth,Elementary Undergraduate,Unemployed,,FALSE,There was no KK Assembly,In School Youth
24,Young Youth,High School Graduate,Employed,,TRUE,,Working Youth
12,Child Youth,Elementary Graduate,Not interested in looking for a Job,,FALSE,There was no KK Assembly,In School Youth
21,Core Youth,Vocational Graduate,Employed,,TRUE,,Working Youth
19,Core Youth,Vocational Graduate,Employed,,TRUE,,Working Youth
23,Core Youth,Vocational Graduate,Employed,,TRUE,,Working Youth
30,Young Youth,College Undergraduate,Employed,,TRUE,,Working Youth
19,Core Youth,College Undergraduate,Unemployed,,FALSE,There was no KK Assembly,Out of School Youth
24,Young Youth,College Undergraduate,Currently looking for a Job,,TRUE,,Out of School Youth
12,Child Youth,High School Undergraduate,Not interested in looking for a Job,,TRUE,,In School Youth
25,Young Youth,High School Graduate,Not interested in looking for a Job,,TRUE,,In School Youth
15,Core Youth,Elementary Graduate,Self-Employed,,TRUE,,Working Youth
12,Child Youth,Elementary Undergraduate,Unemployed,,TRUE,,In School Youth
19,Core Youth,Vocational Graduate,Employed,,TRUE,,Working Youth
17,Core Youth,High School Undergraduate,Not interested in looking for a Job,,TRUE,,In School Youth
18,Core Youth,College Undergraduate,Currently looking for a Job,,TRUE,,Out of School Youth
30,Young Youth,Doctorate Level,Unemployed,,FALSE,There was no KK Assembly,In School Youth
13,Child Youth,Elementary Graduate,Unemployed,,FALSE,There was no KK Assembly,In School Youth
17,Core Youth,High School Undergraduate,Unemployed,,TRUE,,Out of School Youth
22,Core Youth,High School Graduate,Employed,,TRUE,,Working Youth
24,Young Youth,Vocational Graduate,Unemployed,,TRUE,,Out of School Youth
26,Young Youth,College Graduate,Employed,,TRUE,,Working Youth
26,Young Youth,Masters Level,Not interested in looking for a Job,,TRUE,,In School Youth
25,Young Youth,College Undergraduate,Unemployed,,TRUE,,Out of School Youth
18,Core Youth,Vocational Graduate,Employed,,TRUE,,Working Youth
19,Core Youth,College Undergraduate,Currently looking for a Job,,TRUE,,Out of School Youth
19,Core Youth,Vocational Graduate,Employed,Children in Conflict w/Law,TRUE,,Youth with Specific Needs
16,Core Youth,Elementary Graduate,Employed,,TRUE,,Working Youth
17,Core Youth,High School Graduate,Employed,,TRUE,,Working Youth
30,Young Youth,Masters Level,Employed,,TRUE,,Working Youth
28,Young Youth,Doctorate Level,Not interested in looking for a Job,,FALSE,Not interested,Out of School Youth
23,Core Youth,College Undergraduate,Currently looking for a Job,,TRUE,,Out of School Youth
15,Core Youth,Elementary Graduate,Currently looking for a Job,,FALSE,There was no KK Assembly,Out of School Youth
15,Core Youth,High School Undergraduate,Not interested in looking for a Job,,TRUE,,In School Youth
18,Core Youth,Vocational Graduate,Employed,,TRUE,,Working Youth
22,Core Youth,College Undergraduate,Unemployed,,FALSE,There was no KK Assembly,Out of School Youth
19,Core Youth,College Undergraduate,Not interested in looking for a Job,,FALSE,There was no KK Assembly,In School Youth
20,Core Youth,Vocational Graduate,Employed,,FALSE,There was no KK Assembly,Working Youth
22,Core Youth,College Graduate,Employed,Person w/Disability,TRUE,,Youth with Specific Needs
15,Core Youth,High School Undergraduate,Unemployed,,FALSE,There was no KK Assembly,Out of School Youth
29,Young Youth,College Undergraduate,Not interested in looking for a Job,,TRUE,,In School Youth
23,Core Youth,Vocational Graduate,Employed,,TRUE,,Working Youth
21,Core Youth,High School Graduate,Employed,,TRUE,,Working Youth
22,Core Youth,Vocational Graduate,Self-Employed,,FALSE,There was no KK Assembly,Working Youth
12,Child Youth,High School Undergraduate,Not interested in looking for a Job,,FALSE,There was no KK Assembly,In School Youth
23,Core Youth,High School Graduate,Self-Employed,,TRUE,,Working Youth
17,Core Youth,High School Undergraduate,Not interested in looking for a Job,,TRUE,,In School Youth
13,Child Youth,Elementary Undergraduate,Unemployed,,TRUE,,In School Youth
16,Core Youth,Elementary Graduate,Employed,,TRUE,,Working Youth
30,Young Youth,Masters Graduate,Not interested in looking for a Job,,TRUE,,Out of School Youth
21,Core Youth,College Undergraduate,Unemployed,,TRUE,,Out of School Youth
15,Core Youth,High School Undergraduate,Unemployed,,TRUE,,Out of School Youth
17,Core Youth,High School Undergraduate,Not interested in looking for a Job,Person w/Disability,FALSE,There was no KK Assembly,Youth with Specific Needs
15,Core Youth,Elementary Graduate,Employed,,TRUE,,Working Youth
14,Child Youth,Elementary Graduate,Not interested in looking for a Job,Children in Conflict w/Law,TRUE,,Youth with Specific Needs
18,Core Youth,High School Graduate,Employed,,FALSE,There was no KK Assembly,Working Youth
17,Core Youth,High School Undergraduate,Not interested in looking for a Job,,FALSE,Not interested,Out of School Youth
25,Young Youth,Vocational Graduate,Employed,,TRUE,,Working Youth
18,Core Youth,College Undergraduate,Unemployed,,FALSE,There was no KK Assembly,Out of School Youth
30,Young Youth,College Undergraduate,Unemployed,Indigenous People,TRUE,,Youth with Specific Needs
26,Young Youth,Masters Graduate,Employed,,TRUE,,Working Youth
22,Core Youth,High School Graduate,Employed,,TRUE,,Working Youth
18,Core Youth,College Undergraduate,Currently looking for a Job,,FALSE,There was no KK Assembly,Out of School Youth
29,Young Youth,Masters Graduate,Employed,Indigenous People,FALSE,There was no KK Assembly,Youth with Specific Needs
18,Core Youth,Vocational Graduate,Employed,,TRUE,,Working Youth
26,Young Youth,Masters Graduate,Employed,,TRUE,,Working Youth
18,Core Youth,Vocational Graduate,Self-Employed,,TRUE,,Working Youth
17,Core Youth,Elementary Graduate,Self-Employed,,TRUE,,Working Youth
